Shadow32 Result
cccaaaaaaaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
ccacaaaaaaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
ccaacaaaaaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
ccaaacaaaaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
ccaaaacaaaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
ccaaaaacaaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
ccaaaaaacaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
ccaaaaaaacaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
ccaaaaaaaacaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
ccaaaaaaaaacaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
ccaaaaaaaaaacaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
ccaaaaaaaaaaacaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
ccaaaaaaaaaaaacaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
ccaaaaaaaaaaaaacaaaaaaaaaaaaaaaa bbbuubbbuuuuuuuubbbuubbbuuuuuuuu
ccaaaaaaaaaaaaaacaaaaaaaaaaaaaaa ubuuuuubuuuuuuuuubuuuuubuuuuuuuu
ccaaaaaaaaaaaaaaacaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
ccaaaaaaaaaaaaaaaacaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
ccaaaaaaaaaaaaaaaaacaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
ccaaaaaaaaaaaaaaaaaacaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
ccaaaaaaaaaaaaaaaaaaacaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
ccaaaaaaaaaaaaaaaaaaaacaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
ccaaaaaaaaaaaaaaaaaaaaacaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
ccaaaaaaaaaaaaaaaaaaaaaacaaaaaaa bbuuuubbuuuuuuuubbuuuubbuuuuuuuu
ccaaaaaaaaaaaaaaaaaaaaaaacaaaaaa bbbuuubbuuuuuuuubbbuuubbuuuuuuuu
ccaaaaaaaaaaaaaaaaaaaaaaaacaaaaa bbuuuuubuuuuuuuubbuuuuubuuuuuuuu
ccaaaaaaaaaaaaaaaaaaaaaaaaacaaaa ubuuuuubuuuuuuuuubuuuuubuuuuuuuu
ccaaaaaaaaaaaaaaaaaaaaaaaaaacaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
ccaaaaaaaaaaaaaaaaaaaaaaaaaaacaa ubuuububuuuuuuuuubuuububuuuuuuuu
ccaaaaaaaaaaaaaaaaaaaaaaaaaaaaca buuuuubuuuuuuuuubuuuuubuuuuuuuuu
ccaaaaaaaaaaaaaaaaaaaaaaaaaaaaac bbbuubbbuuuuuuuubbbuubbbuuuuuuuu
caccaaaaaaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
cacacaaaaaaaaaaaaaaaaaaaaaaaaaaa ububuuuuuuuuuuuuububuuuuuuuuuuuu
cacaacaaaaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
cacaaacaaaaaaaaaaaaaaaaaaaaaaaaa ubuuuuubuuuuuuuuubuuuuubuuuuuuuu
cacaaaacaaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
cacaaaaacaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
cacaaaaaacaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
cacaaaaaaacaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
cacaaaaaaaacaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
cacaaaaaaaaacaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
cacaaaaaaaaaacaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
cacaaaaaaaaaaacaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
cacaaaaaaaaaaaacaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
cacaaaaaaaaaaaaacaaaaaaaaaaaaaaa bbbbbbubuuuuuuuubbbbbbubuuuuuuuu
cacaaaaaaaaaaaaaacaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
cacaaaaaaaaaaaaaaacaaaaaaaaaaaaa ubbbbbbbuuuuuuuuubbbbbbbuuuuuuuu
cacaaaaaaaaaaaaaaaacaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
cacaaaaaaaaaaaaaaaaacaaaaaaaaaaa ububuuuuuuuuuuuuububuuuuuuuuuuuu
cacaaaaaaaaaaaaaaaaaacaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
cacaaaaaaaaaaaaaaaaaaacaaaaaaaaa ubuuuuubuuuuuuuuubuuuuubuuuuuuuu
cacaaaaaaaaaaaaaaaaaaaacaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
cacaaaaaaaaaaaaaaaaaaaaacaaaaaaa ubuuuuubuuuuuuuuubuuuuubuuuuuuuu
cacaaaaaaaaaaaaaaaaaaaaaacaaaaaa bbbbbbbbuuuuuuuubbbbbbbbuuuuuuuu
cacaaaaaaaaaaaaaaaaaaaaaaacaaaaa bbbbbbubuuuuuuuubbbbbbubuuuuuuuu
cacaaaaaaaaaaaaaaaaaaaaaaaacaaaa bbbbbbbbuuuuuuuubbbbbbbbuuuuuuuu
cacaaaaaaaaaaaaaaaaaaaaaaaaacaaa ubbbbbbbuuuuuuuuubbbbbbbuuuuuuuu
cacaaaaaaaaaaaaaaaaaaaaaaaaaacaa bbbbbbbbuuuuuuuubbbbbbbbuuuuuuuu
cacaaaaaaaaaaaaaaaaaaaaaaaaaaaca ububuuuuuuuuuuuuububuuuuuuuuuuuu
cacaaaaaaaaaaaaaaaaaaaaaaaaaaaac bbbbbbbbuuuuuuuubbbbbbbbuuuuuuuu
caaccaaaaaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
caacacaaaaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
caacaacaaaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
caacaaacaaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
caacaaaacaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
caacaaaaacaaaaaaaaaaaaaaaaaaaaaa ubbbbubbuuuuuuuuubbbbubbuuuuuuuu
caacaaaaaacaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
caacaaaaaaacaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
caacaaaaaaaacaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
caacaaaaaaaaacaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
caacaaaaaaaaaacaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
caacaaaaaaaaaaacaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
caacaaaaaaaaaaaacaaaaaaaaaaaaaaa ubuuuuubuuuuuuuuubuuuuubuuuuuuuu
caacaaaaaaaaaaaaacaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
caacaaaaaaaaaaaaaacaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
caacaaaaaaaaaaaaaaacaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
caacaaaaaaaaaaaaaaaacaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
caacaaaaaaaaaaaaaaaaacaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
caacaaaaaaaaaaaaaaaaaacaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
caacaaaaaaaaaaaaaaaaaaacaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
caacaaaaaaaaaaaaaaaaaaaacaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
caacaaaaaaaaaaaaaaaaaaaaacaaaaaa ubbbbubbuuuuuuuuubbbbubbuuuuuuuu
caacaaaaaaaaaaaaaaaaaaaaaacaaaaa ubuubuubuuuuuuuuubuubuubuuuuuuuu
caacaaaaaaaaaaaaaaaaaaaaaaacaaaa ububuuubuuuuuuuuububuuubuuuuuuuu
caacaaaaaaaaaaaaaaaaaaaaaaaacaaa ubuububbuuuuuuuuubuububbuuuuuuuu
caacaaaaaaaaaaaaaaaaaaaaaaaaacaa ubuuuuubuuuuuuuuubuuuuubuuuuuuuu
caacaaaaaaaaaaaaaaaaaaaaaaaaaaca uuuububuuuuuuuuuuuuububuuuuuuuuu
caacaaaaaaaaaaaaaaaaaaaaaaaaaaac ubbububbuuuuuuuuubbububbuuuuuuuu
caaaccaaaaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
caaacacaaaaaaaaaaaaaaaaaaaaaaaaa uuuuububuuuuuuuuuuuuububuuuuuuuu
caaacaacaaaaaaaaaaaaaaaaaaaaaaaa uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
